Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
5,500,NaN,0.6330948,-0.28898528,-0.09897776,0.743592,0.0014758385,-0.1037535
10,1000,NaN,0.97528714,0.07952292,-0.10503937,0.75851417,0.01806139,-0.10402739
15,1500,-153.51973327889687,0.5825961,-0.1776662,-0.10080885,0.72421414,0.1615563,-0.10642786
20,2000,-153.51973327889687,0.9866414,0.16288795,-0.10641065,0.7550655,0.07575112,-0.10499208
25,2500,-134.83883141519783,0.773136,0.08324586,-0.10510061,0.730509,0.048200604,-0.10452295
30,3000,-134.83883141519783,0.8172233,-0.1786751,-0.10079226,0.779628,-0.17467183,-0.10085619
35,3500,-98.3231103097732,0.9969688,-0.10042644,-0.10207938,0.80137724,0.056082767,-0.10465481
40,4000,-98.3231103097732,0.9207662,0.39018598,-0.11014949,0.6450114,0.3022486,-0.10874417
46,4600,-96.56295262108951,0.7921087,0.24897033,-0.10782663,0.8065408,0.037416916,-0.10434392
51,5100,-96.56295262108951,0.52813387,-0.1267998,-0.10164556,0.76265544,0.00024908246,-0.103732616
56,5600,-93.78022230860344,0.80163485,0.3807289,-0.10999393,0.7795745,0.027484305,-0.1041805
61,6100,-93.78022230860344,0.864342,-0.27718088,-0.09917193,0.7712019,-0.035730872,-0.103141546
66,6600,-83.01862507126077,0.71359164,-0.14420556,-0.10135925,0.7572014,0.061369125,-0.10474668
71,7100,-83.01862507126077,0.5652541,-0.092897885,-0.10220321,0.74012667,0.010309145,-0.103898585
76,7600,-75.35175132387981,0.97739905,0.1431584,-0.10608612,0.86982906,-0.21737182,-0.100160986
81,8100,-75.35175132387981,0.9344693,0.35743323,-0.10961074,0.82466775,0.034938566,-0.10430657
87,8700,-71.20244928662395,0.8630947,-0.0043189535,-0.103660256,0.8095886,0.018935435,-0.10404306
92,9200,-71.20244928662395,0.98988616,-0.21203938,-0.10024345,0.7773084,-0.06339645,-0.102689855
97,9700,-49.02490975945527,0.57288563,0.09064353,-0.1052223,0.72609454,0.14779629,-0.106159605
102,10200,-49.02490975945527,0.99580187,-0.18686767,-0.1006575,0.81753135,-0.27922714,-0.0991349
107,10700,-42.78949659544223,0.96991307,0.2169952,-0.10730066,0.8233902,-0.02674151,-0.10329564
112,11200,-42.78949659544223,0.99454004,-0.16181318,-0.10106962,0.85320956,-0.2590311,-0.099465415
117,11700,-22.269449828562912,0.6132017,0.04396679,-0.10445451,0.6525902,0.17102972,-0.1065526
122,12200,-22.269449828562912,0.75597614,-0.26668385,-0.099344596,0.85494083,-0.28111804,-0.09912862
128,12800,-8.490866372092915,0.9651059,-0.14866349,-0.10128592,0.7699849,0.019396698,-0.1040494
133,13300,-8.490866372092915,0.8059652,-0.11193394,-0.10189009,0.81512594,-0.11454638,-0.10184469
138,13800,-3.342539838342553,0.9785183,0.11248344,-0.105581544,0.7547525,0.02330181,-0.10411364
143,14300,-3.342539838342553,0.7114031,0.06723495,-0.104837246,0.7337607,0.12314202,-0.10576607
148,14800,-3.243167232676734,0.81321305,0.16412617,-0.106431015,0.74549884,0.17470893,-0.10661975
153,15300,-3.243167232676734,0.98710394,-0.24686468,-0.099670604,0.78930014,-0.307523,-0.0986994
158,15800,17.69069744342734,0.9073251,0.35865703,-0.10963087,0.68597937,0.22318918,-0.10742504
163,16300,17.69069744342734,0.8235984,0.35224092,-0.10952533,0.7096572,0.13084285,-0.10586621
168,16800,4.447290535886895,0.83156854,0.13033475,-0.10587518,0.7741165,0.09847049,-0.105349004
174,17400,4.447290535886895,0.8895298,0.073647015,-0.104942724,0.8131083,0.036335427,-0.104329094
179,17900,4.942106506938928,0.5590216,-0.10701261,-0.10197104,0.7912159,-0.0106644435,-0.10355733
184,18400,4.942106506938928,0.97238624,0.12739709,-0.10582686,0.76863027,0.0019266747,-0.103765726
189,18900,14.14304510737544,0.9458174,0.34376034,-0.10938583,0.69913864,0.1569356,-0.10631165
194,19400,14.14304510737544,0.97829646,-0.2207625,-0.10009996,0.86409307,-0.17861444,-0.10079325
199,19900,27.27291624500546,0.84834695,-0.1656794,-0.10100602,0.8582368,-0.08345833,-0.10235491
204,20400,27.27291624500546,0.8154089,-0.16371147,-0.1010384,0.7924501,-0.21524625,-0.100208715
209,20900,24.43486821499297,0.7496826,-0.10511168,-0.10200231,0.77974284,-0.2633355,-0.09939868
215,21500,24.43486821499297,0.55495125,0.03789372,-0.10435461,0.7243224,0.13042565,-0.10588496
220,22000,56.584752259060224,0.6440477,-0.004967951,-0.10364958,0.78814703,-0.067608014,-0.10261878
225,22500,76.54804568093999,0.54206395,0.24136283,-0.10770149,0.6352708,0.0759195,-0.104974955
230,23000,76.54804568093999,0.96823704,-0.12005753,-0.10175646,0.83191353,-0.31161773,-0.09859968
235,23500,78.11452733906184,0.85201734,0.068506464,-0.10485816,0.8321328,0.09140142,-0.10523334
240,24000,78.11452733906184,0.93862593,-0.24768026,-0.099657185,0.85609114,-0.17590564,-0.100840054
245,24500,97.00689687390859,0.6286788,0.09196678,-0.10524406,0.6973588,-0.009460014,-0.103576355
