Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
81,8100,-443.1494955833133,0.9151028,-0.18210578,-0.10073583,-0.005491,0.19145,0.81725
122,12200,-431.83971485313106,0.5277234,0.26987043,-0.10817041,-0.005491,0.19145,0.81725
163,16300,-432.0158094775669,0.9829433,-0.18051608,-0.10076197,-0.005491,0.19145,0.81725
204,20400,-432.9699752282063,0.95826644,-0.060183205,-0.10274134,-0.005491,0.19145,0.81725
245,24500,-444.94691126200297,0.9547072,0.3422371,-0.10936078,-0.005491,0.19145,0.81725
286,28600,-430.1027996199252,0.8148899,0.021451823,-0.10408416,-0.005491,0.19145,0.81725
327,32700,-428.654626924149,0.63320035,-0.080403596,-0.10240873,-0.005491,0.19145,0.81725
368,36800,-439.4191643413217,0.90092343,-0.28919494,-0.09897431,-0.005491,0.19145,0.81725
409,40900,-431.41718725768885,0.72345024,0.1290075,-0.10585335,-0.005491,0.19145,0.81725
450,45000,-434.09585527010177,0.7913167,0.27860418,-0.108314075,-0.005491,0.19145,0.81725
491,49100,-416.5482040570533,0.8032487,0.24983378,-0.10784083,-0.005491,0.19145,0.81725
532,53200,-417.254216208679,0.68007255,0.33878893,-0.109304056,-0.005491,0.19145,0.81725
573,57300,-412.4002736441927,0.99534297,0.048819978,-0.104534335,-0.005491,0.19145,0.81725
614,61400,-423.0366890527305,0.6923192,0.1656828,-0.10645662,-0.005491,0.19145,0.81725
655,65500,-422.2042286882317,0.730317,-0.26465085,-0.099378034,-0.005491,0.19145,0.81725
696,69600,-442.29528429549674,0.6369809,0.16752906,-0.10648699,-0.005491,0.19145,0.81725
737,73700,-423.0852972487278,0.9483439,0.28158113,-0.10836304,-0.005491,0.19145,0.81725
778,77800,-417.29353398692695,0.54822236,0.2940188,-0.10856763,-0.005491,0.19145,0.81725
819,81900,-416.85186356913783,0.9942221,0.13989307,-0.10603241,-0.005491,0.19145,0.81725
860,86000,-424.87216178248684,0.9476637,0.38283262,-0.110028535,-0.005491,0.19145,0.81725
901,90100,-413.0511241299381,0.9894222,0.25492573,-0.10792459,-0.005491,0.19145,0.81725
942,94200,-446.9382884551068,0.57838964,-0.17504704,-0.10085194,-0.005491,0.19145,0.81725
983,98300,-444.4140299242363,0.5144206,0.2235326,-0.107408196,-0.005491,0.19145,0.81725
1024,102400,-419.2926342389799,0.9719191,0.29439676,-0.10857385,-0.005491,0.19145,0.81725
1064,106400,-418.87897192213325,0.96558726,0.032024235,-0.10425807,-0.005491,0.19145,0.81725
1105,110500,-406.11558605211945,0.6747727,0.39739308,-0.11026804,-0.005491,0.19145,0.81725
1146,114600,-426.08059608203456,0.81751966,-0.14989087,-0.10126573,-0.005491,0.19145,0.81725
1187,118700,-423.1317803567728,0.6281513,-0.16781536,-0.10097089,-0.005491,0.19145,0.81725
1228,122800,-431.2355530505234,0.8509732,-0.12641062,-0.10165196,-0.005491,0.19145,0.81725
1269,126900,-437.62077239094845,0.9517353,0.06835156,-0.10485561,-0.005491,0.19145,0.81725
1310,131000,-418.9622098085824,0.8507357,-0.15992755,-0.10110064,-0.005491,0.19145,0.81725
1351,135100,-437.4696946873931,0.97302127,-0.18248056,-0.10072966,-0.005491,0.19145,0.81725
1392,139200,-455.65869248642855,0.5838009,-0.18844862,-0.10063149,-0.005491,0.19145,0.81725
1433,143300,-426.31395738950283,0.53027135,0.00026121273,-0.103735596,-0.005491,0.19145,0.81725
1474,147400,-420.4279518856883,0.6151145,-0.07417624,-0.10251117,-0.005491,0.19145,0.81725
