Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.96350217,-0.29479632,-0.09888217,0.7817985,-0.08041913,-0.102402255
81,8100,-112.37830022751747,0.9797515,-0.09773575,-0.10212363,0.7378973,-0.15306321,-0.10121739
122,12200,-95.28994162945249,0.50633603,-0.06897429,-0.10259673,0.7347485,-0.03270315,-0.103191696
163,16300,-74.41281741871161,0.6255847,0.2500655,-0.10784464,0.79218966,0.122997485,-0.10576267
204,20400,-78.13494212332819,0.995136,-0.141431,-0.10140489,0.80426985,-0.10513984,-0.101997435
245,24500,-27.77468033258506,0.6954636,0.22993495,-0.10751351,0.8078537,-0.004392117,-0.10365961
286,28600,-61.66806699693713,0.64939034,-0.22896738,-0.099965,0.74591726,-0.1785029,-0.100797355
327,32700,-53.2607636062696,0.8042577,-0.25933352,-0.099465504,0.6754627,-0.15850475,-0.10113363
368,36800,-40.66886603916974,0.81328416,-0.23697254,-0.09983332,0.6945131,-0.11454649,-0.10184727
409,40900,-7.717363166881825,0.89644164,-0.17854741,-0.10079436,0.75106466,-0.14665648,-0.10132309
450,45000,16.998455716925722,0.7133196,0.3044003,-0.10873839,0.73644143,0.19900534,-0.10700661
491,49100,29.919583894158375,0.9073762,-0.15431942,-0.101192884,0.78861314,0.016597264,-0.10400483
532,53200,55.93762966792105,0.8805779,-0.26759478,-0.09932961,0.7742858,-0.26206747,-0.09943184
573,57300,70.89808695278562,0.8689059,-0.2787574,-0.09914599,0.7239855,-0.25101602,-0.09959833
614,61400,65.14533771532065,0.81436217,-0.09281451,-0.10220458,0.8012827,-0.12056278,-0.10175466
655,65500,101.17862283957486,0.60707986,0.1937688,-0.10691861,0.74842834,0.081733674,-0.1050824
696,69600,110.13854203276448,0.666527,0.20098959,-0.10703739,0.69269407,0.22357184,-0.107414454
737,73700,95.15551988375142,0.5496077,0.26661587,-0.10811688,0.6628297,0.20983884,-0.10720004
778,77800,139.26390235257261,0.90022165,0.19563115,-0.10694925,0.8076482,0.13469765,-0.10595621
819,81900,133.5545053797069,0.52398974,0.2627139,-0.10805269,0.7501444,0.1289406,-0.105858505
860,86000,134.14300251359796,0.89450145,0.3110577,-0.1088479,0.7243048,0.16088323,-0.106381424
901,90100,186.81166724798862,0.5265176,0.076099075,-0.104983054,0.6894961,0.14850682,-0.106179796
942,94200,145.85657567120984,0.77358294,0.06483231,-0.10479773,0.70666975,0.1596457,-0.10636491
983,98300,117.49756995103196,0.5653075,-0.18091956,-0.10075534,0.78067875,-0.06460462,-0.102671415
1024,102400,157.937819866959,0.8531521,-0.008065517,-0.103598624,0.76993376,0.019432187,-0.10405446
1064,106400,183.29056417741458,0.8069437,0.06804862,-0.104850635,0.77830285,0.12528332,-0.10579328
1105,110500,172.53750833549077,0.64774,0.25309515,-0.10789447,0.7506474,0.17767324,-0.106641605
1146,114600,181.25740526964537,0.88149756,-0.10469819,-0.10200911,0.8976129,-0.14365113,-0.10136179
1187,118700,211.38595892720585,0.84408724,0.12843084,-0.105843864,0.85412943,0.15141955,-0.10622195
1228,122800,205.41524757778876,0.6290602,0.33474103,-0.10923747,0.61062986,0.4012312,-0.11032573
1269,126900,181.30169338460058,0.7349798,-0.0718257,-0.10254983,0.7118759,-0.14816953,-0.10130754
1310,131000,208.28557509511293,0.9967912,-0.050695,-0.10289741,0.9241355,-0.08162076,-0.102393895
1351,135100,214.8293624063304,0.74369884,0.26092386,-0.10802325,0.70652825,0.332158,-0.10921914
1392,139200,220.29738415823743,0.5046747,0.04855613,-0.10453,0.56532073,-0.02482608,-0.10332326
1433,143300,230.56773266361708,0.7503277,0.37404832,-0.10988404,0.6994649,0.3669277,-0.1097956
1474,147400,177.45328970752234,0.9900783,0.27064103,-0.108183086,0.8664767,0.20746607,-0.10713774
1515,151500,171.15310752021048,0.80701363,0.3531773,-0.10954073,0.7542632,0.3382792,-0.10929879
