Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.6925625,0.0018138505,-0.10376113,0.68180364,-0.22210293,-0.10007369
81,8100,-81.19786123280778,0.74712044,-0.24689688,-0.099670075,0.7876048,0.07386923,-0.10494513
122,12200,-76.36506698272157,0.9866905,-0.25046283,-0.09961142,0.82653,-0.2016121,-0.10041115
163,16300,-47.46015819248323,0.93014234,-0.1330527,-0.101542704,0.7885096,-0.13420668,-0.101523966
204,20400,-32.716735737733885,0.9779578,0.09710607,-0.1053286,0.7589751,-0.12102923,-0.101740204
245,24500,37.15462227947904,0.6646514,0.1799335,-0.10669103,0.5842832,0.2842763,-0.10841186
286,28600,15.495585857216328,0.81941754,0.26472273,-0.10808574,0.7011015,0.2490473,-0.10782489
327,32700,26.474831416239926,0.67539936,0.25536978,-0.10793189,0.59469277,0.29584157,-0.10859671
368,36800,44.742597278657435,0.9778226,-0.033493858,-0.10318036,0.7977851,-0.21691582,-0.100157775
409,40900,65.45262123851789,0.54732746,-0.020065933,-0.10340123,0.59401155,0.09488105,-0.10529813
450,45000,103.42302632904837,0.94684654,0.3863694,-0.11008671,0.8413306,0.12322136,-0.10575742
491,49100,133.5916929445227,0.95748776,0.3577426,-0.109615825,0.7463959,0.33448178,-0.109221295
532,53200,127.23452780577131,0.72593963,0.23924986,-0.10766673,0.7277994,0.13559538,-0.10596149
573,57300,147.14399412134804,0.97816235,0.30731797,-0.10878639,0.85833067,0.15879014,-0.10634312
614,61400,178.02328817965306,0.9843503,0.16716485,-0.106481,0.8716043,0.073149346,-0.10493329
655,65500,150.2890664419774,0.8438299,0.24779679,-0.10780732,0.7802707,0.18144904,-0.10672
696,69600,140.2688237914797,0.57789034,-0.045392156,-0.10298464,0.663615,-0.036625907,-0.103128135
737,73700,184.28426847883964,0.6201679,0.28561634,-0.10842942,0.6850975,0.16657346,-0.10646914
778,77800,152.6774100797194,0.9453747,-0.17381287,-0.10087223,0.8448176,-0.19643338,-0.100488976
819,81900,166.9619155883453,0.8871584,-0.10474263,-0.10200838,0.81682587,-0.23805597,-0.099811845
860,86000,207.67921461050685,0.770756,0.21932285,-0.10733895,0.70147276,0.07745509,-0.10500317
901,90100,236.82358188566153,0.9808577,0.2347662,-0.10759298,0.8274248,0.049073447,-0.1045413
942,94200,245.63410566333494,0.588205,0.15961584,-0.10635683,0.70646435,0.106455564,-0.10548667
