Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.95025516,-0.21936853,-0.10012289,0.72915107,0.18743673,-0.10681446
81,8100,-78.70740484643486,0.88721174,0.31226867,-0.108867824,0.78734493,0.017645212,-0.10402154
122,12200,-77.36818620150807,0.69151944,-0.27696502,-0.09917548,0.8183894,-0.10525625,-0.10199993
163,16300,-50.91734965999773,0.99767166,-0.008874143,-0.103585325,0.73120767,-0.07540635,-0.10249093
204,20400,0.21955708715429223,0.8562834,0.19073048,-0.10686863,0.66444707,0.22905488,-0.10749903
245,24500,-7.205749574455045,0.70219445,0.1868638,-0.106805034,0.6923085,0.2419957,-0.107711904
286,28600,15.311086669220433,0.6753699,-0.09422681,-0.10218135,0.80652523,0.028245756,-0.104195915
327,32700,25.688478853767794,0.96066844,-0.03800093,-0.103106216,0.799755,-0.20131083,-0.100419916
368,36800,21.589536464271227,0.9360722,0.23517643,-0.10759973,0.72738755,0.21267354,-0.107229576
409,40900,27.686226144931776,0.7385466,-0.03529248,-0.10315077,0.7538681,-0.062013734,-0.10271123
450,45000,73.22490970223531,0.9810488,-0.27465218,-0.099213526,0.79650784,-0.2724277,-0.099250115
491,49100,89.81207476311306,0.5056643,-0.08439362,-0.1023431,0.72656786,-0.059589844,-0.1027511
532,53200,121.88472465460266,0.98884475,-0.26870906,-0.099311285,0.7711138,-0.40521803,-0.097065836
573,57300,77.46176414924942,0.71920013,0.13009588,-0.10587125,0.7361818,0.16571096,-0.106457084
614,61400,108.78642558516113,0.99120486,0.22549586,-0.107440494,0.78061193,0.1876616,-0.106818154
655,65500,134.6651548740019,0.6243466,0.246332,-0.10778323,0.7171654,0.16320547,-0.106415875
696,69600,59.1535800565685,0.97087157,0.30485412,-0.10874586,0.7649415,0.16628957,-0.106466606
737,73700,151.1749811895309,0.92307186,-0.044518907,-0.102999,0.81390077,-0.10965521,-0.10192757
778,77800,140.46639237761016,0.5951373,0.020407237,-0.104066975,0.7317212,-0.0046915156,-0.103654124
819,81900,127.84423669440237,0.59564,0.08287422,-0.1050945,0.7017021,0.048552696,-0.10452994
860,86000,141.34097325422047,0.512707,0.21094678,-0.107201174,0.7111251,0.16452171,-0.10643753
901,90100,134.95903356410457,0.80319136,0.28953263,-0.108493835,0.69750214,0.17662084,-0.10663655
942,94200,148.9025208789604,0.93840224,0.38356853,-0.11004064,0.71033156,0.15560527,-0.106290855
983,98300,128.37010968565545,0.98504186,-0.26653704,-0.09934701,0.7976038,-0.10695927,-0.10197192
1024,102400,152.9119471885012,0.8597225,0.36961225,-0.109811075,0.76997745,0.019403324,-0.104050465
1064,106400,139.94214168111162,0.9565281,0.35728785,-0.109608345,0.85051435,0.2635886,-0.10806708
1105,110500,160.23741202063022,0.9571902,0.13786593,-0.10599906,0.937673,0.15800178,-0.106330276
1146,114600,144.761678672857,0.6927725,0.029246867,-0.10421238,0.72107905,-0.04480606,-0.10299428
1187,118700,154.52003023472844,0.9681101,0.050241135,-0.104557715,0.9564222,-0.015879964,-0.10347009
1228,122800,191.5019064367801,0.87806696,0.32658502,-0.109103315,0.82251287,0.22811544,-0.10748358
1269,126900,209.09131039332573,0.6541655,0.1216537,-0.10573239,0.6748905,0.049684405,-0.10454856
1310,131000,209.98173573686958,0.91538185,0.24571787,-0.107773125,0.8774708,0.23709731,-0.107631326
1351,135100,198.34934301200013,0.9475295,0.25772688,-0.10797066,0.81267715,0.28173313,-0.10836554
1392,139200,235.10537190374797,0.9831485,0.18660367,-0.10680075,0.89096296,0.1915988,-0.106882915
1433,143300,198.48701288610636,0.78370845,-0.25705126,-0.09950304,0.79783493,-0.33006877,-0.09830197
1474,147400,236.09012807131415,0.9751781,0.30312148,-0.10871736,0.8573732,0.21064515,-0.10719621
