-----------------------------------------------------------------------------------------------------------------------------
Statistics              p-value                 Distribution
-----------------------------------------------------------------------------------------------------------------------------
0.03318576269822249     5.436313649705411e-10   alpha: (37.972592698066975, -107.91258142176781, 9520.693540765235)
0.1525808699554525      1.2176203705912666e-202 argus: (0.0013810845533015726, 115.584363693777, 46.12193791113218)
0.005703755830374246    0.9009145033599592      beta: (21.208458313870878, 9.256849305421161, 87.34379287406666, 80.00180404184141)
0.028676466938162948    1.4397186469093377e-07  betaprime: (1213.7761079916354, 921.6136557323309, -8.028452983464085, 114.58078614143037)
0.025333544667127228    5.327531674782573e-06   burr: (46.43556936954934, 0.6260650726138276, -0.906577621796428, 146.56801412173087)
0.020642375515334932    0.0003980208537204579   burr12: (29.834646526282448, 2.7915623176979056, 0.2720826261453734, 149.47868477672182)
0.08772694330841224     2.8462910660415938e-67  cauchy: (143.4523968754417, 4.063863388304231)
0.029250617685434466    7.402777183878774e-08   chi2: (258.2300385159151, 66.36809313985566, 0.2970150094082241)
0.1786443568774804      1.2624989576447362e-277 cosine: (140.72356445472192, 8.002445881860702)
0.02176572655738318     0.0001535030884635045   crystalball: (1372.7306666010793, 6886.535173890348, 143.0370073683354, 6.558138466301099)
0.028776088063599714    1.2839970999218148e-07  dgamma: (1.392584394486458, 143.31538222980288, 3.7753941349381552)
0.021769944578891892    0.0001529403535284379   dweibull: (1.2800550632169174, 143.3151490666145, 5.652600687005332)
0.02670112685454662     1.2835815191411462e-06  erlang: (358.798778465092, 17.230042501438135, 0.35062954427252624)
0.021773591019168426    0.0001524554498326388   exponnorm: (0.029839427060197963, 142.84135063248334, 6.555134802288434)
0.022627664971089034    7.140967023553413e-05   f: (48184.632478280386, 74900.89071803304, -652.8390348167143, 795.8571791538328)
0.027074424179826195    8.591333289835664e-07   fatiguelife: (0.017414908838558257, -231.34705240885103, 374.2985219654148)
0.025455770210283335    4.705504523081913e-06   fisk: (38.014230388389436, -0.49034016915596623, 143.62877180289655)
0.10698305648619655     7.722738100542973e-100  foldcauchy: (6.843473436255165, 115.58736130829274, 4.072187620287837)
0.013441090532845368    0.053926637661971054    frechet_l: (3.0961827976043015, 161.81148972381288, 20.987463269912517)
0.026934313034958635    9.99513483608866e-07    gamma: (313.94120851033017, 25.60029903451091, 0.3740832798675231)
0.0057100068535125      0.9001982083310275      gausshyper: (9.344473777946407, 9.299145616086003, -12.236822763541019, 8.345907318807438, 91.56176451913612, 75.81649594613384)
0.01344038837042949     0.05394699778932135     genextreme: (0.3229803776823369, 140.8240323172471, 6.7785294969742775)
0.024257904397296942    1.5482946981987606e-05  genlogistic: (0.7531714132030635, 144.77501638246656, 3.3654846610746407)
0.02106259745785699     0.00028033841688302185  gennorm: (2.0847646036541496, 143.01075080516995, 9.468653644801108)
0.043489245602149396    7.469321018561124e-17   gumbel_l: (146.23115338716963, 6.0105012957429125)
0.08459208511477478     1.4007469987863918e-62  gumbel_r: (139.67840942764465, 6.959551174780849)
0.030795446925991454    1.1579334376764644e-08  hypsecant: (143.269131212572, 4.509645768928698)
0.03641011145043288     6.111938440034551e-12   invgamma: (264.02102020207406, 33.1001565260928, 28912.809022690184)
0.10080895544881108     1.0743602739366166e-88  invgauss: (0.04837493770639925, 101.17902875050174, 865.3683207632985)
0.0984164682504084      1.4833017785363063e-84  invweibull: (19.71484557921425, -0.5549269848827035, 140.059785468492)
0.005875454382577666    0.8803317280849101      johnsonsb: (-1.814556519186576, 2.7989054807651588, 88.88310599732806, 83.01366178494763)
0.009852777163464888    0.286116772769813       johnsonsu: (14.413856450226564, 8.600832966208472, 195.50436435345793, 20.210755109140276)
0.11458044098433462     1.848359813587696e-114  kstwobign: (111.17275064882995, 37.03382482773425)
0.0492336281626497      1.7654953318255956e-21  laplace: (143.33577243357075, 5.257531176848035)
0.00963830112384162     0.3108040442339651      loggamma: (9.797998372205381, 98.37443677665846, 20.025542529039335)
0.0227489461974687      6.396695850067295e-05   logistic: (143.20932679949453, 3.7609848530662537)
0.05044350611888504     1.58260628438437e-22    loglaplace: (27.188726514649687, -0.4259318681296853, 143.76187356432206)
0.024249104586019143    1.561569149927899e-05   lognorm: (0.006185399044441825, -915.0685941677052, 1058.0646676793112)
0.039191744141543805    9.11099845678079e-14    mielke: (37.572448749238816, 33.267450085799624, -0.8046561002964809, 142.942852130789)
0.1283053063661198      2.0498828488833481e-143 moyal: (138.2368490066357, 4.997068394576278)
0.021712217073946216    0.00016081430805059128  ncf: (0.06661520835286056, 3940.862317025188, 15307.922868419511, -97.01326959888988, 0.0010442083712806681)
0.040937679406917615    5.5514084536725304e-15  nct: (339.395218865006, 30.1838884929112, -3.51739074009434, 4.84622600955826)
0.021765765089743594    0.00015349793891691654  norm: (143.03700677272542, 6.55813824429103)
0.028902048238203193    1.1103496705721385e-07  norminvgauss: (1424.323282918044, 1238.5212847029654, -8.150412868575089, 85.84828376088986)
0.01810368390091055     0.0028463430812460007   powerlognorm: (1.0188239201369003, 0.0035174014647992103, -1728.9052627541805, 1872.115006629594)
0.010708794564485702    0.20160470895328758     powernorm: (5.833223159069048, 155.71337427949692, 10.12705001131679)
0.010879742804472292    0.1872983323423462      skewnorm: (-1.5574667614556712, 148.99253976611533, 8.858762365439471)
0.021758655854718922    0.000154450807324197    t: (2731.5606700008184, 143.0376965351533, 6.555775425286378)
0.1564898114405854      3.9061424217533656e-213 triang: (0.660946853547296, 115.58547850725711, 46.12778579796738)
0.022486611654999322    8.110167902644353e-05   tukeylambda: (0.13632602683365266, 143.0326612333045, 4.498117725682228)
0.021631981650924503    0.000172397892832379    vonmises_line: (53.943631495824334, 143.04225414369597, 47.98623643454614)
0.013441090532845368    0.053926637661971054    weibull_max: (3.0961827976043015, 161.81148972381288, 20.987463269912517)
