----------------------------------------------------------------------------------
Statistics               p-value                 Distribution
----------------------------------------------------------------------------------
0.03318576269822249     5.436313649705411e-10   alpha
0.2647683449331814      0.0                     anglit
0.3545932467549395      0.0                     arcsine
0.1525808699554525      1.2176203705912666e-202 argus
0.005703755830374246    0.9009145033599592      beta
0.028676466938162948    1.4397186469093377e-07  betaprime
0.30934999681726394     0.0                     bradford
0.025333544667127228    5.327531674782573e-06   burr
0.020642375515334932    0.0003980208537204579   burr12
0.08772694330841224     2.8462910660415938e-67  cauchy
0.9960067409137268      0.0                     chi
0.029250617685434466    7.402777183878774e-08   chi2
0.1786443568774804      1.2624989576447362e-277 cosine
0.02176572655738318     0.0001535030884635045   crystalball
0.028776088063599714    1.2839970999218148e-07  dgamma
0.021769944578891892    0.0001529403535284379   dweibull
0.02670112685454662     1.2835815191411462e-06  erlang
0.40062550854873047     0.0                     expon
0.021773591019168426    0.0001524554498326388   exponnorm
0.9076031144915874      0.0                     exponpow
0.7030836948315382      0.0                     exponweib
0.022627664971089034    7.140967023553413e-05   f
0.027074424179826195    8.591333289835664e-07   fatiguelife
0.025455770210283335    4.705504523081913e-06   fisk
0.10698305648619655     7.722738100542973e-100  foldcauchy
0.39769295452219955     0.0                     foldnorm
0.013441090532845368    0.053926637661971054    frechet_l
0.8158425428030721      0.0                     frechet_r
0.026934313034958635    9.99513483608866e-07    gamma
0.0057100068535125      0.9001982083310275      gausshyper
0.4711156484308169      0.0                     genexpon
0.01344038837042949     0.05394699778932135     genextreme
0.6880609875918688      0.0                     gengamma
0.2851134921177124      0.0                     genhalflogistic
0.024257904397296942    1.5482946981987606e-05  genlogistic
0.02106259745785699     0.00028033841688302185  gennorm
0.48737268597835215     0.0                     genpareto
0.32539808008647975     0.0                     gilbrat
0.9742729299096049      0.0                     gompertz
0.043489245602149396    7.469321018561124e-17   gumbel_l
0.08459208511477478     1.4007469987863918e-62  gumbel_r
0.3598203884607637      0.0                     halfcauchy
0.4671582069989316      0.0                     halfgennorm
0.3836424674318215      0.0                     halflogistic
0.39769304615126655     0.0                     halfnorm
0.030795446925991454    1.1579334376764644e-08  hypsecant
0.03641011145043288     6.111938440034551e-12   invgamma
0.10080895544881108     1.0743602739366166e-88  invgauss
0.0984164682504084      1.4833017785363063e-84  invweibull
0.005875454382577666    0.8803317280849101      johnsonsb
0.009852777163464888    0.286116772769813       johnsonsu
0.3266861288736017      0.0                     kappa3
0.2581492522177984      0.0                     kappa4
0.310892621990821       0.0                     ksone
0.11458044098433462     1.848359813587696e-114  kstwobign
0.0492336281626497      1.7654953318255956e-21  laplace
0.00963830112384162     0.3108040442339651      loggamma
0.0227489461974687      6.396695850067295e-05   logistic
0.05044350611888504     1.58260628438437e-22    loglaplace
0.024249104586019143    1.561569149927899e-05   lognorm
0.4242508743056743      0.0                     lomax
0.19397300871204495     0.0                     maxwell
0.039191744141543805    9.11099845678079e-14    mielke
0.1283053063661198      2.0498828488833481e-143 moyal
0.9932797646433682      0.0                     nakagami
0.021712217073946216    0.00016081430805059128  ncf
0.040937679406917615    5.5514084536725304e-15  nct
0.2737462119563676      0.0                     ncx2
0.021765765089743594    0.00015349793891691654  norm
0.028902048238203193    1.1103496705721385e-07  norminvgauss
0.41458355423054305     0.0                     pareto
0.9997895395704723      0.0                     pearson3
0.20681431886912705     0.0                     powerlaw
0.01810368390091055     0.0028463430812460007   powerlognorm
0.010708794564485702    0.20160470895328758     powernorm
0.26705279116773484     0.0                     rayleigh
0.021881770179491777    0.0001387148538234075   rdist
0.025237276700960543    5.872350813125322e-06   recipinvgauss
1.0     0.0                     reciprocal
0.267053425668754       0.0                     rice
fit() missing 1 required positional argument: 'data'
fit() missing 1 required positional argument: 'data'
0.2876603337815393      0.0                     semicircular
0.010879742804472292    0.1872983323423462      skewnorm
0.021758655854718922    0.000154450807324197    t
0.37171316840018964     0.0                     trapz
0.1564898114405854      3.9061424217533656e-213 triang
0.39741497911146706     0.0                     truncexpon
1.0     0.0                     truncnorm
0.022486611654999322    8.110167902644353e-05   tukeylambda
0.31089262303611476     0.0                     uniform
8.501073694684338e+27   0.0                     vonmises
0.021631981650924503    0.000172397892832379    vonmises_line
0.33449831613321435     0.0                     wald
0.013441090532845368    0.053926637661971054    weibull_max
0.8158425428030721      0.0                     weibull_min
nan     nan     wrapcauchy
