Distribution; Statistics; p-value; Parameters
alpha;0.012536172177289306;0.08628966779908129;(31.50368454450944, -62.99097567325889, 5740.862903997251)
argus;1.7538;0.0;(1.1556939545136376e-05, 99.02767715944645, 42.63073358555107)
beta;0.004901274729133931;0.9699104490720256;(20.787850199408407, 29.8240262911863, 84.77805036343112, 84.40067609273487)
betaprime;0.009443086454707483;0.3345236221710355;(3180.093002083434, 619.6760694445012, -12.16606069370921, 25.604305722300154)
burr;0.07095547288000581;3.71845641434825e-44;(22.040431651391827, 4.3086446216130145, -0.6870029767015098, 110.77895804549414)
burr12;0.01967540783787433;0.0008680282556378814;(34.03761207343792, 1.2242409198042508, -1.2194856434302757, 121.60979721409285)
cauchy;0.0782630575615153;1.2561274448188478e-53;(119.33273407211428, 3.579690883294333)
chi2;0.9780339933530073;0.0;(0.4082493178997565, 99.81313750212007, 1.6544934640168971)
cosine;0.13554598503142423;5.219913844251545e-160;(120.69325585676636, 6.6762075368069524)
crystalball;0.009671478673302814;0.30689118958208755;(806.6710889855592, 835.5445649585985, 119.44399664372342, 5.779751217675781)
dgamma;0.02317212867543056;4.3367347297080776e-05;(1.3983590324333737, 119.37049213374371, 3.3160784883689782)
dweibull;0.015325099358145744;0.018242030395528835;(1.283739172751194, 119.37052853978196, 4.988593344442561)
erlang;0.006515937572652952;0.7895404859772329;(342.25607664740403, 12.508572762496446, 0.3124427555141712)
exponnorm;0.008746562139768599;0.4286569936745056;(0.3431930100344549, 117.56760844717698, 5.467500839772349)
f;0.0066706173024695115;0.7651311614790758;(1794.656796375405, 4020.748496506023, -24.478627794256468, 143.85104408900867)
fatiguelife;0.007065790798167049;0.7002568375020655;(0.0382282248447762, -31.850760868932376, 151.17648853143464)
fisk;0.020535587963439628;0.00043461052205773785;(36.23396138107243, -0.8940202050242079, 120.22095544088774)
foldcauchy;0.07723329058963713;3.089312302093826e-52;(33.33431482943706, -0.07848248229661095, 3.5822311088218837)
frechet_l;0.011316377652041076;0.15435173443586994;(4.478701281445623, 142.5561328088141, 25.31693076324283)
gamma;0.006515742245294609;0.7895708404944181;(342.25593392832604, 12.508608946390014, 0.31244276783605573)
gausshyper;0.20908950099675905;0.0;(1.2821246499617684, 1.5638022326294276, 1.3773022641117552, -0.3756345988748784, 99.81180324381752, 41.84760822973294)
genextreme;0.011313616880255117;0.1545444540482577;(0.22327810306620943, 117.23924296815527, 5.652740497574533)
genlogistic;0.018767784149450684;0.0017442209714460196;(1.3536825412411653, 117.78922312871468, 3.6450535456704376)
gennorm;0.009005711478622502;0.3919425916444546;(2.1054665380737405, 119.45334393927425, 8.38414362903124)
gumbel_l;0.06821394539465914;7.662122753322885e-41;(122.35713995602887, 5.871723571404632)
gumbel_r;0.053041579335778855;7.3125477082121515e-25;(116.57916592226506, 5.58719780683745)
hypsecant;0.026822230095902927;1.12751623586694e-06;(119.3748840129785, 3.976665633687838)
invgamma;0.02099880644179619;0.0002957931223288117;(130.67419881056935, 53.10624786766175, 8602.24646718664)
invgauss;0.0427410261884934;2.714485073525961e-16;(0.04463202104324479, 89.66198776145723, 666.1520991828838)
invweibull;0.06228437170044998;4.0316720068841295e-34;(20.72240251565768, -0.3666262589370612, 116.80962684454354)
johnsonsb;0.004840259565051297;0.9732532649848039;(1.1187720482048618, 3.9495149157884177, 78.738784834938, 94.50396114585612)
johnsonsu;0.0068076514412242495;0.7429711619757637;(-15.878717023124633, 19.60965885333087, 43.61859189434797, 84.02805413261248)
kstwobign;0.08156717204731306;3.251158707854476e-58;(95.1431073432723, 28.058264743542942)
laplace;0.04668651096571019;2.338846418857814e-19;(119.3825374019557, 4.637121189291898)
loggamma;0.01011702948688803;0.2576655145392125;(877.1521276219356, -1051.4711229876725, 172.79825016802096)
logistic;0.020406274326487672;0.0004831548007507735;(119.3918766738011, 3.3186692198031107)
loglaplace;0.048231686259230355;1.2447539156462455e-20;(25.82876631462974, -0.41339605687566816, 119.79592451254427)
lognorm;0.006638144580228322;0.7703135387345765;(0.03545266637706165, -43.54320569752329, 162.88481375686467)
mielke;0.01985532480820862;0.0007529352793304469;(37.903386395491715, 35.218346465225984, -0.48754059577431447, 119.43620930877147)
moyal;0.0859490242293669;1.3687498603741712e-64;(115.40995089154647, 3.8782902021393273)
ncf;0.046884994641515965;1.613183404661596e-19;(0.10759743263059354, 3022.2564381919215, 18937.521392953975, -113.11975689696759, 0.001320829477832969)
nct;0.06508925319203918;3.1790359784194713e-37;(221.7297258177345, 25.102924097266047, -1.004536443837808, 4.789546789922078)
norm;0.009671766799146275;0.3068573596734399;(119.44400130725658, 5.779753554912077)
norminvgauss;0.007140943395645194;0.6876623849727193;(1613.1871832569818, 1525.0026334240872, -5.9239542608052265, 43.24658828396612)
powerlognorm;0.007146366505709545;0.6867517316603742;(2.0822138065911626, 0.1031993197948656, 50.60567717404899, 72.93018270215029)
powernorm;0.006290990865558732;0.8235724686770293;(0.5682575152067386, 116.72853607017456, 4.836150314244698)
skewnorm;0.0074453784033607084;0.6363683829936797;(0.8607399531008264, 115.9197288205767, 6.7694895295156)
t;0.009673038999065242;0.3067080170600276;(6258.060338622978, 119.44390624668374, 5.778883457929482)
triang;0.12363072877823844;3.475792755232255e-133;(0.4483795127973744, 99.80601987589682, 41.857880689655246)
tukeylambda;0.010059185324406361;0.26370930272464577;(0.1508465774490912, 119.45596829105244, 4.045198257117484)
vonmises_line;0.009715272373079564;0.30177899051831825;(251.0269452106553, 119.44450349160326, 91.51509636012827)
weibull_max;0.011316377652041076;0.15435173443586994;(4.478701281445623, 142.5561328088141, 25.31693076324283)
