Distribution; Statistics; p-value; Parameters
alpha;0.020360346416395336;0.0005015902817332317;(56.15205134372951, -45.36949248599217, 8048.309837511137)
argus;0.1762140891850773;3.907968768343241e-270;(0.0009202107022029012, 87.10096683511509, 18.635284697250057)
beta;0.00637687575109569;0.8108098841593882;(22.363309158811838, 12.284822705219202, 77.62316111121015, 31.581213460231993)
betaprime;0.01518643277240267;0.019852832148018112;(18930.792614712074, 18966.718893367994, -149.50183985716268, 247.96591388510615)
burr;0.08746082121277354;7.231478185306362e-67;(37.98759279632502, 38.89753427161696, -0.7781780585001274, 88.46550275591713)
burr12;0.017949034299793776;0.0031821141712387;(57.81110542412337, 1.864358737891736, -1.5628787402203321, 101.09252432859935)
cauchy;0.08346997260072408;6.086732082770855e-61;(98.10869354273784, 1.5618480621920192)
chi2;0.028366763795179162;2.0498714160161231e-07;(336.92294100111803, 64.58889747918289, 0.09909160597220701)
cosine;0.18510008173543477;5.066750694528364e-298;(97.07165114276245, 3.173853406408172)
crystalball;0.013387865580983926;0.05548885586092188;(11387.303395975778, 615.4737621142338, 98.00690561618924, 2.5299858547397527)
dgamma;0.029751847309257395;4.097510352793998e-08;(1.3819416509434552, 98.00561445610111, 1.4674649839968565)
dweibull;0.03639558853064956;6.242564070038462e-12;(1.2828142261675337, 97.90909421377867, 2.1855912365699774)
erlang;0.020140579861157193;0.0005993217478889769;(396.8420689697971, 47.26121677850912, 0.12786977076698702)
exponnorm;0.013370061646727716;0.05602004166190149;(0.029949052902268083, 97.93129948272428, 2.5288898941546494)
f;0.05040734279092912;1.7023592474476289e-22;(24208.539940698545, 42925.256754227026, -150.6436823833593, 248.46803392911545)
fatiguelife;0.01671672912717903;0.007477673790528431;(0.010541445621285322, -142.32196760702107, 240.30700224204838)
fisk;0.021131860308721828;0.0002644222709262656;(169473812.74156025, -244439609.00235313, 244439707.05305365)
foldcauchy;0.08595202644301791;1.3546947320551428e-64;(62.98391684634814, -0.2789184071008556, 1.5621073087848036)
