Distribution; Statistics; p-value; Parameters
alpha;0.025855806461546393;3.1211551790310717e-06;(29.825557507510325, -70.62090950830918, 5280.334621542492)
argus;0.26244397687620435;0.0;(0.00040025504703089445, 83.77041448523042, 43.277850709023795)
beta;0.005314183348356316;0.9402388490311996;(41.706925976472064, 27.171918825894572, 45.53165706192457, 100.90001584609861)
betaprime;0.016350861022079943;0.009524707656057571;(105039.21097154333, 3614.166373482278, -243.60855609993507, 12.047693063881333)
burr;0.023288190113714247;3.8933760876172074e-05;(34.944648641203614, 0.773323237192336, -0.6940710712977726, 108.59357300395881)
burr12;0.01993548895784053;0.0007064011934120802;(26.768071909670347, 1.7985509766204932, -0.11419904369669606, 110.01588420695828)
cauchy;0.07818914714398029;1.5829694583445651e-53;(106.79025886872927, 3.6510401036334743)
chi2;0.026421776140446218;1.727115455609723e-06;(93.55999792851833, 65.27917217228031, 0.4426586728158919)
cosine;0.13297598321407955;5.150064642917364e-154;(105.44040541222383, 6.896573789249192)
crystalball;0.012542881202973089;0.0859998501145413;(422.6711753683293, 48.0090246680857, 106.62776661410648, 5.899231434077782)
dgamma;0.029182470341611866;8.016455926080987e-08;(1.4013000991762965, 106.77062514426925, 3.374452931726447)
dweibull;0.0331335130091448;5.826429773186794e-10;(1.2910067555772071, 106.40768314532224, 5.103983205289734)
erlang;0.018021523514459847;0.0030204211051367788;(785.1690816279993, -59.36082531360897, 0.21138570046597388)
exponnorm;0.012530491378588637;0.08653570910199153;(0.029559696835107556, 106.453713138104, 5.896548813409554)
f;0.013881351026397981;0.042396033460791446;(64452.93186843005, 80778.71294549631, -683.9824523940244, 790.5909912782975)
fatiguelife;0.01888317192555866;0.0015990645781582783;(0.019513518647162872, -196.1498879026908, 302.6813650561355)
fisk;0.0225167445118154;7.893163280994781e-05;(31.614085916694837, -0.6817307103887933, 107.28920824476378)
foldcauchy;0.0834370606024577;6.793567534183015e-61;(29.24525425090033, -0.08410836862479049, 3.6544267428293953)
frechet_l;0.8042630972510375;0.0;(0.30028190111574465, 127.04660285436252, 1.3934757392926214)
gamma;0.01664254687269795;0.007857080271596524;(776.2732918583097, -58.1038275944242, 0.21221747969102878)
gausshyper;0.942421050752742;0.0;(27.140237927952633, 13.657902743284252, -36.485600353155306, 10.681081222699481, -25.020512830193525, 159.74531493936774)
genextreme;0.0172738865826762;0.0051200248335449595;(0.2600840678560575, 104.4617617848098, 5.94353859240043)
genlogistic;0.021344611662494767;0.00022070098979891058;(0.9763653405347459, 106.80734351332663, 3.3549689569108363)
gennorm;0.01230000360451089;0.09702672558493657;(2.077965436572151, 106.61932373332016, 8.503961249827217)
gumbel_l;0.053977434374464034;9.865967073287784e-26;(109.5515434547375, 5.712052033011201)
gumbel_r;0.06829488148880447;6.143036979356141e-41;(103.6527201629533, 6.007448976205483)
hypsecant;0.030154715083073047;2.5286639738592385e-08;(106.7075609435129, 4.055221069109395)
invgamma;0.032329044446484545;1.670412699004876e-09;(305.28308476177824, 3.1344505731269887, 31467.9188698235)
invgauss;0.1374042740407101;2.0511732335490508e-164;(0.18755244006373734, 82.84370300624826, 133.092761246268)
invweibull;0.08330058749812541;1.0708954948628448e-60;(16.957049654670392, -0.363147853904764, 103.84011230601557)
johnsonsb;0.005326739670780123;0.9391405688267133;(-1.5311447759400914, 4.597823444541028, 41.08982715925233, 112.69243405524031)
johnsonsu;0.00730713666962296;0.6596829076814752;(18.72862019289736, 20.621777715668088, 194.25094902682687, 84.29111278091781)
kstwobign;0.09933005464984418;3.99990272961204e-86;(79.78365722077731, 31.102296337629586)
laplace;0.04973883750649;6.494658673116682e-22;(106.75785974391377, 4.7285925158964375)
loggamma;0.007317368801465385;0.6579572187167133;(88.6123237427017, -141.38771689389404, 55.377684886871585)
logistic;0.02102693705989464;0.0002888813632673948;(106.68341928724975, 3.383499812296731)
loglaplace;0.05114112327252662;3.835556472363506e-23;(22.56249946629933, -0.37926048029045445, 107.13762387069485)
lognorm;0.017303032630709203;0.005017860659185461;(0.0204337070382749, -181.2427775735772, 287.80101903728394)
mielke;0.02328944746009251;3.88881850627106e-05;(27.032145698146387, 34.95358792917027, -0.7239213596722149, 108.62314871339386)
moyal;0.10860445928236606;7.105294700874765e-103;(102.4031846985796, 4.257258420368115)
ncf;0.10131495090574794;1.3893484779338827e-89;(0.28090654484536376, 1315.093094778307, 22307.90727428399, -104.04740469996553, 0.0026510102869597967)
nct;0.021491008868752992;0.000194686095452565;(339.4688002453298, 25.481539400429714, -1.8666880458676127, 4.248521418738657)
norm;0.012542772862058404;0.0860045237386056;(106.62776728331247, 5.8992398615540855)
norminvgauss;0.02201483630818224;0.00012342051985969653;(5539.245440946079, 5524.390676733652, -12.46339517875323, 8.739290528993308)
powerlognorm;0.0619474468434717;9.312121456028916e-34;(0.22111094818644622, 0.08014533339416224, 58.75252506442577, 41.05478729717011)
powernorm;0.007804875873630823;0.5761903282197596;(1.6673037211393043, 109.53878167054407, 6.814372570019474)
skewnorm;0.007729476925478929;0.5887144502236865;(-0.874826956320494, 110.27084276319268, 6.9334694767524905)
t;0.012540791503258486;0.08609003349566142;(5503.658909717651, 106.62788225064914, 5.898204506352675)
triang;0.1258749106988273;4.7589504250143155e-138;(0.547261832588293, 83.77780656544232, 43.27589031833121)
tukeylambda;0.013016575304437339;0.067507543351867;(0.14661663766214988, 106.61903005981588, 4.10253439223222)
vonmises_line;0.012181569461775288;0.10281732176593228;(111.81148132814849, 106.6335729228378, 62.26778340150939)
weibull_max;0.8042630972510375;0.0;(0.30028190111574465, 127.04660285436252, 1.3934757392926214)
