Distribution; Statistics; p-value; Parameters
alpha;0.04767090205330371;3.6493570045079577e-20;(19.09761755690173, -181.79134047152814, 5170.376670505473)
argus;0.1629399066380196;4.96314770826624e-231;(0.0006621153905054903, 27.377445948933925, 104.37736369589652)
beta;0.004370445484368268;0.9910153534124246;(26.318684810984635, 13.422294527122215, -34.48637036185983, 188.0087941377443)
betaprime;0.02227214275988154;9.826725671517353e-05;(83960.58595523078, 911.2199648560922, -330.5559518114893, 4.561300034575406)
burr;0.08556548557782528;5.101561599275922e-64;(46.48004884510524, 202525.5838322557, -599.6395630478829, 524.3302313682179)
burr12;0.012626458656298134;0.08245751551907554;(8.233811467392927, 5.376428311279527, -0.9467775811292951, 116.754325020784)
cauchy;0.08300681289865841;2.845198988439967e-60;(90.73981313084883, 8.62795291774188)
chi2;0.033749338719109456;2.556504334342015e-10;(169.85666341753014, -43.66697338604126, 0.786620422489104)
cosine;0.14163494060629028;1.1431931441847912e-174;(86.32653506024525, 15.785523778693191)
crystalball;0.018351177292344145;0.0023764037073393477;(438.1142425098281, 76732.62247616382, 90.0234935356279, 13.93044966577657)
dgamma;0.03631292217568868;7.0399562646010736e-12;(1.403100197598702, 90.82528196236085, 7.965817414460512)
dweibull;0.025247262657025038;5.8134389931108686e-06;(1.2844937772114942, 90.59205796464772, 12.026087515134178)
erlang;0.02371097873544248;2.616565012585306e-05;(387.47406655887903, -186.8521877828652, 0.714663707806646)
exponnorm;0.01835543061327327;0.002368994960502143;(0.02951519393632515, 89.61247799277847, 13.924433490537426)
f;0.019313381911750915;0.0011511575967634543;(93194.44239903585, 956321.2676494316, -2790.3363405728405, 2880.3411582126737)
fatiguelife;0.016929477167953788;0.0064802460603572455;(0.01365193778978515, -935.2044854732558, 1025.2729081721209)
fisk;0.0340178603208009;1.7766004779703786e-10;(11.026925988249838, -0.3195027233417358, 90.09879032620005)
foldcauchy;0.09693120050409709;4.913429560283528e-82;(10.44930755669877, -0.06277840033704098, 8.691048007956613)
frechet_l;0.808894537807964;0.0;(0.25147453861146735, 131.75174896973246, 1.5877221000780115)
gamma;0.027173674473372933;7.714264471582894e-07;(397.5239393369998, -190.3483537169355, 0.7050761989626584)
gausshyper;0.007974634614020815;0.5482748946793106;(15.121869844900207, 3.1514634585934003, -7.216459028225742, -0.9994902126704701, 4.319089741305254, 144.84720629654151)
genextreme;0.016051565465403428;0.011563426027159525;(0.3020479246251727, 85.19687855019146, 14.277113950945779)
genlogistic;0.02211643426745291;0.00011283475963562512;(0.8324452110632168, 92.48969303055378, 7.460928235336171)
gennorm;0.019130248615970236;0.0013252143462037745;(2.1024391149666153, 89.97205001598499, 20.19385228290681)
gumbel_l;0.04630408215112325;4.763122641535191e-19;(96.85997954772571, 13.072759758607788)
gumbel_r;0.07725765305259347;2.865299586323972e-52;(82.93572086185955, 14.49989655150245)
hypsecant;0.029721952590488487;4.245835451183859e-08;(90.40656566586449, 9.585441960042253)
invgamma;0.038666841822257214;2.0632042991940723e-13;(270.05579582993767, -143.41666261438547, 62761.83753348552)
invgauss;0.06120571806415742;5.787247409892803e-33;(0.02781507320245616, 0.6015683491403263, 3201.4419546348)
invweibull;0.08081171071427029;3.7804600549422274e-57;(289081551.95790136, -4245137369.365843, 4245137452.3948693)
johnsonsb;0.004322945269256223;0.9921247449048566;(-1.734618274179105, 3.3138251980908353, -35.595537585246106, 200.88197032199284)
johnsonsu;0.008456234989088846;0.4719919997914688;(14.136386462375164, 11.240748169056907, 222.82647005561262, 81.84247142518959)
kstwobign;0.10702549681963103;6.439926262880892e-100;(25.308716335692168, 74.96531750217986)
laplace;0.0481121178996875;1.56726375017195e-20;(90.53972069509993, 11.17495060468726)
loggamma;0.00827133502247493;0.5006921932541001;(19.6518757205164, -90.05543788256642, 60.9917239530092)
logistic;0.022038038835710205;0.0001209230779522482;(90.29755807060636, 7.996205233791861)
loglaplace;0.04997159313807331;4.0829379345796705e-22;(7.897836834946141, -0.25838661398930907, 90.79849820376737)
lognorm;0.7426386420504286;0.0;(3.782317996243067, 36.75824668302057, 1.5585184837607802)
mielke;0.023282508202216334;3.9140352763789684e-05;(7.164141801816216, 16.06473378596589, 0.48599234377368083, 98.21823895731453)
moyal;0.11900347089761343;1.9632316279378538e-123;(79.91984757010385, 10.33494118166417)
ncf;0.037656545900290106;9.645045913315957e-13;(105.66511173169366, 1092.3687526035992, 47.61491456179055, -12.871700784406196, 70.78394847378419)
nct;0.021867532422820246;0.0001404537500245739;(339.8820662606427, 6.7773701481710695, -1.7230834192699047, 13.508312827273242)
norm;0.018351180116820687;0.0023763987803491664;(90.02349343439931, 13.930449699571072)
norminvgauss;0.019783604907786745;0.0007969861297086463;(261.25836487147654, 116.69245922065318, -5.275368502715956, 191.1973144190672)
powerlognorm;0.46676413683415896;0.0;(0.0018983511461684493, 0.11417623502931418, 36.22475928354288, 1.3064052868116214)
powernorm;0.009074296267382181;0.3825544956546957;(3.2256623654796486, 106.96279542734918, 18.94841134460988)
skewnorm;0.01835117883166537;0.002376401022160779;(3.438089190099565e-05, 90.02311134603355, 13.930449611734467)
t;0.018346670565159262;0.002384277256523443;(14178.946956495442, 90.02369987400866, 13.9295073683112)
triang;0.12780761853484696;2.6234317127333436e-142;(0.6057148115825534, 36.741907044726936, 95.02919957567948)
tukeylambda;0.01936842927983229;0.0011031628851372252;(0.14651218237360453, 89.98491013156578, 9.691133947334851)
vonmises_line;0.2625487562364255;0.0;(0.06693729552187777, 84.19767016104839, 15.136933419735659)
weibull_max;0.808894537807964;0.0;(0.25147453861146735, 131.75174896973246, 1.5877221000780115)
