Episode,Step,Reward,X-Target,Y-Target,Z-Target,X-Current,Y-Current,Z-Current 
40,4000,NaN,0.95025516,-0.21936853,-0.10012289,0.7027048,0.17110974,-0.10655283
81,8100,-77.25865529050733,0.88721174,0.31226867,-0.108867824,0.7927533,-0.015231812,-0.10347745
122,12200,-74.82719200513645,0.69151944,-0.27696502,-0.09917548,0.8215766,-0.057672128,-0.10278334
163,16300,-49.01890355916409,0.99767166,-0.008874143,-0.103585325,0.7464296,-0.09859361,-0.10210849
204,20400,0.7222230542661521,0.8562834,0.19073048,-0.10686863,0.68556654,0.2203052,-0.107355356
245,24500,-7.426613800916088,0.70219445,0.1868638,-0.106805034,0.69814426,0.24623016,-0.10777858
286,28600,19.42028457770138,0.6753699,-0.09422681,-0.10218135,0.79664797,0.012272147,-0.1039314
327,32700,40.095906136001645,0.96066844,-0.03800093,-0.103106216,0.8115892,-0.12488052,-0.10168871
368,36800,35.244558922932306,0.9360722,0.23517643,-0.10759973,0.74181527,0.23059373,-0.10753184
409,40900,42.72021930455467,0.7385466,-0.03529248,-0.10315077,0.752463,-0.06320095,-0.10268987
450,45000,92.0703956996832,0.9810488,-0.27465218,-0.099213526,0.8428404,-0.2707081,-0.09928804
491,49100,118.35216443495148,0.5056643,-0.08439362,-0.1023431,0.71654403,-0.08493549,-0.102335505
532,53200,145.17935576373594,0.98884475,-0.26870906,-0.099311285,0.7825368,-0.35098943,-0.09796408
573,57300,107.06895227038191,0.71920013,0.13009588,-0.10587125,0.7420171,0.19492425,-0.10694283
614,61400,131.72405477675272,0.99120486,0.22549586,-0.107440494,0.8080692,0.18245056,-0.1067301
655,65500,164.7181484860337,0.6243466,0.246332,-0.10778323,0.7306382,0.16699621,-0.106482
696,69600,103.72725553183325,0.97087157,0.30485412,-0.10874586,0.8141085,0.156566,-0.10630558
737,73700,187.48140820707306,0.92307186,-0.044518907,-0.102999,0.8204314,-0.092149146,-0.102212496
778,77800,190.42598481080327,0.5951373,0.020407237,-0.104066975,0.731502,-0.019833595,-0.10340508
819,81900,179.2262427258492,0.59564,0.08287422,-0.1050945,0.6816147,0.09983746,-0.105370335
860,86000,187.7850963216693,0.512707,0.21094678,-0.107201174,0.6968648,0.20320885,-0.10708658
901,90100,192.4806002298819,0.80319136,0.28953263,-0.108493835,0.7365401,0.12417067,-0.10577499
942,94200,196.41090847232226,0.93840224,0.38356853,-0.11004064,0.7559775,0.11968213,-0.10570703
983,98300,189.0364857466902,0.98504186,-0.26653704,-0.09934701,0.7993787,-0.12547272,-0.10167504
1024,102400,203.54632991953164,0.8597225,0.36961225,-0.109811075,0.7699605,0.019397967,-0.104051165
1064,106400,189.7374598468453,0.9565281,0.35728785,-0.109608345,0.88269305,0.33029324,-0.10915353
1105,110500,206.6558570008013,0.9571902,0.13786593,-0.10599906,0.95112354,0.13197143,-0.1059058
1146,114600,196.94857481532867,0.6927725,0.029246867,-0.10421238,0.72458625,-0.059529476,-0.10275503
1187,118700,207.69465066215784,0.9681101,0.050241135,-0.104557715,0.96254104,0.042579617,-0.10443553
1228,122800,240.67491165885428,0.87806696,0.32658502,-0.109103315,0.87337244,0.22477382,-0.10743249
1269,126900,257.531097554448,0.6541655,0.1216537,-0.10573239,0.6567925,0.052196946,-0.10458888
1310,131000,256.6836529084624,0.91538185,0.24571787,-0.107773125,0.9109771,0.26778814,-0.108162746
1351,135100,253.82489831102802,0.9475295,0.25772688,-0.10797066,0.86577165,0.29752198,-0.10861755
1392,139200,273.8432292611053,0.9831485,0.18660367,-0.10680075,0.92200184,0.18811643,-0.10683985
1433,143300,246.18060545023664,0.78370845,-0.25705126,-0.09950304,0.8057789,-0.310711,-0.09863683
1474,147400,273.5996389733399,0.9751781,0.30312148,-0.10871736,0.88749677,0.24657016,-0.107794054
